source,target
22847,420315
22847,21714
22847,14554
420315,316637
420315,21714
420315,153505
420315,23261
420315,49215
420315,16431
420315,15590
420315,121955
420315,1145567
420315,3842712
420315,17602
420315,64830
420315,420315
420315,9263
420315,18417
420315,24276
420315,9241
420315,20922
420315,15245
420315,140363
420315,480992
420315,1038401
420315,38046
420315,448862
420315,9313
420315,316837
420315,123535
420315,25151
420315,15326
420315,73407
420315,49904
420315,155957
420315,9073
420315,92535
420315,59824
420315,13299
420315,20456
420315,11405
420315,537349
420315,492127
420315,9371
420315,46556
420315,149640
420315,9227
420315,9262
420315,689835
420315,9223
420315,14044
420315,43638
420315,33485
420315,9225
420315,9266
420315,215511
420315,23524
420315,48464
420315,111604
420315,20363
420315,14015
420315,22809
420315,23541
420315,239324
420315,9451
420315,1502891
420315,12927
420315,30758
420315,11507
420315,186235
420315,1404110
420315,1157282
420315,34491
420315,660174
420315,4256132
420315,269349
420315,88356
420315,390291
420315,3930630
420315,9410
420315,1496808
420315,1709480
420315,2127508
420315,9335
420315,24457
420315,18328
420315,621260
420315,45672
420315,22086
420315,18568
420315,174857
420315,41752
420315,41716
420315,151115
420315,78290
420315,17831
420315,15010
420315,9382
420315,9246
420315,13340
420315,14554
420315,4238502
420315,13452
420315,1095740
420315,18416
420315,9220
420315,9529
420315,13339
420315,15478
420315,11438
420315,29293
420315,88066
420315,18205
420315,1020712
420315,9370
420315,969776
420315,498041
420315,4652211
420315,433972
420315,46946
420315,28283
420315,175190
420315,21222
420315,69570
420315,55527
420315,38000
420315,114427
420315,1291242
420315,43374
420315,1273207
420315,1255063
420315,706370
420315,1163258
420315,1276445
420315,183534
420315,62744
420315,20843
420315,12763
420315,144739
420315,232536
420315,13505
420315,111569
420315,9475
420315,14700
420315,143228
420315,14948
420315,18800
420315,5152007
420315,9510
420315,4304891
420315,12242
420315,84327
420315,15654
420315,55614
420315,11384
420315,31408
420315,10674
420315,247172
420315,75406
420315,1140047
420315,111076
420315,9249
420315,91192
420315,24783
420315,473153
420315,49246
420315,32282
420315,672328
420315,23120
420315,671812
420315,33921
420315,15655
420315,226136
420315,570913
420315,21211
420315,247268
420315,42740
420315,18758
420315,32563
420315,32337
420315,447015
420315,624141
420315,430770
316637,16516
316637,14554
316637,448862
316637,4256132
316637,192704
316637,34827
316637,18800
316637,13729
316637,88356
316637,172349
316637,1150876
316637,623612
316637,9263
316637,23257
316637,1209128
316637,14242
316637,43638
316637,18452
316637,300215
316637,25634
316637,21714
316637,22086
316637,211286
316637,10577
316637,9225
316637,969776
316637,9411
316637,23261
316637,37571
316637,163896
316637,19542
316637,80104
316637,9241
316637,52669
316637,15255
316637,18417
316637,10056
316637,1078602
316637,129409
316637,11888
316637,15010
316637,69230
316637,13339
316637,32563
16516,5535878
16516,202653
16516,4256132
16516,153505
16516,21714
16516,9241
16516,1418564
16516,9260
16516,215155
16516,125932
5535878,15372
5535878,9236
5535878,788233
5535878,843916
5535878,48464
5535878,22448
5535878,20345
5535878,533968
15372,21714
15372,132945
15372,67283
15372,160579
15372,866466
21714,18417
21714,4256132
21714,211286
21714,46946
21714,21714
21714,24276
21714,480992
21714,38046
21714,87899
21714,9508
21714,49904
